Url: ,https://www.zomato.com/mumbai/burger-king-dadar-west/order
Medium Peri Peri Fries.,144 rupee,"Crispy Fries With Tangy Peri Peri Spice. Qty: 119 Gms| Kcal: 345.3 | Carbs 447.6 Gms| Sugar: 0.9 Gms| Fat: 14.7 Gms| Saturated fat: 6.8 Gms| Protein: 6.3 Gms| Sodium: 998.8 Mg Contains: Soybean, Milk"
King Fries.,139 rupee,The Perfect Crispy Partner Qty: 156 Gms| Kcal: 455 | Carbs 609.48 Gms| Sugar: 0 Gms| Fat: 19.7 Gms| Saturated fat: 9.31 Gms| Protein: 8 Gms| Sodium: 723.7 Mg Contains: Gluten
Saucy Fries.,145 rupee,"Crispy French Fries, Loads of Cheese, Yum!"
Regular Fries.,90 rupee,The perfect crispy partner.
2 Med Fries.,238 rupee,The perfect crispy partner.
Peri Peri Fries (R),118.57 rupee,Crispy Fries with Tangy Peri Peri Spice
"2 King Fries,",278 rupee,"MRP. 260 | Save Rs. 91, The perfect crispy partner."
Medium Fries,119 rupee,The Perfect Crispy Partner. Qty: 114 Gms| Kcal: 332.5 | Carbs 445.39 Gms| Sugar: 0 Gms| Fat: 14.4 Gms| Saturated fat: 6.8 Gms| Protein: 5.9 Gms| Sodium: 528.8 Mg Contains: Gluten
King Peri Peri Fries,159 rupee,"Crispy Fries With Tangy Peri Peri Spice. Qty: 161 Gms| Kcal: 467.8 | Carbs 611.7 Gms| Sugar: 0.9 Gms| Fat: 20 Gms| Saturated fat: 9.3 Gms| Protein: 8.4 Gms| Sodium: 1193.7 Mg Contains: Gluten, Soybean"
Fiery Hell Dip,23.81 rupee,"Qty: 20 Gms| Kcal: 81.4 | Carbs 3.3 Gms| Sugar: 1.8 Gms| Fat: 7.4 Gms| Saturated fat: 1.3 Gms| Protein: 0.3 Gms| Sodium: 194 Mg Contains: Soybean , Milk"
Peri Peri Spice Mix,28.57 rupee,Peri Peri Spice Mix. Qty: 5 Gms| Kcal: 12.8 | Carbs 2.2 Gms| Sugar: 0.9 Gms| Fat: 0.3 Gms| Saturated fat: 0 Gms| Protein: 0.4 Gms| Sodium: 470 Mg Contains: Soybean
"Korean Spicy Fries,",159 rupee,"""Cheesy Fries with hot and sweet Korean glaze. Qty: 174 Gms| Kcal: 496.70 | Carbs 53.57 Gms| Sugar: 10.88 Gms| Fat: 28.29 Gms| Saturated fat: 10.14 Gms| Protein: 6.94 Gms| Sodium: 1469.93 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
Chilli Oregano Dip,23.81 rupee,
Saucy Jalapeno Dip,23.81 rupee,
BK Veg Pizza Puff.,65 rupee,"""Crispy savoury pastry with a filling of tomato sauce with corn, carrots, bell peppers, peas and mozzarella. Caution: Served Hot."
Veggie Strips - 5 Pcs.,59 rupee,Vegetarian's favourite finger food.
Masala Hashbrown,49 rupee,"Fried golden brown potatoes with a desi masala twist. Qty: 60 Gms| Kcal: 158 | Carbs 19.7 Gms| Sugar: 1 Gms| Fat: 8.1 Gms| Saturated fat: 3.9 Gms| Protein: 1.7 Gms| Sodium: 500 Mg Contains: Gluten, Soybean"
Crunchy Chicken Nuggets (4pcs)+Fiery Hell Dip.,132.81 rupee,
(6Pc) Crunchy Chicken Nuggets + 1 Dip.,169 rupee,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip
